Product Type,Current stock ID,Product name,Condition,Brand,Model Number,Serial,paper_cart,Category,size,metal,weight,partners,Warehouse,unit,Vendor Doc Number,Supplier,dop,tags,Product Cost,Cost Code,Sale Price,MSRP,Quantity,Gallery Images,Thumbnail image,description,external_link,google_link,published,featured,Serial LTR,Age,Dial,Bezel,Band,Screw Count,Band Grade,
Watch,W5397,W5397,W5397,Used,Rolex,116334,X0A34573,Yes,Datejust,41mm,Steel,151.70g,GCI,LA - Main,Per/Pc,44054,"Doug Gruenberg, Inc.",44054,,9000,32760,12000,9650,1,,,Datejust 41 New Style Steel Oysterclasp,,,1,0,SCR,2016,Rhodium Diamond, Fluted WG, Oyster, 8s, A
Watch,W5402,W5402,W5402,Used,Rolex,67180,W555539,No,Oyster Perpetual,26mm,Steel,47.30g,GCI,LA - Main,Per/Pc,44054,"Doug Gruenberg, Inc.",44054,,1900,6916,3850,0,1,,,Oyster Perpetual 26 Quick Set Steel,,,1,0,W,1995,Blue Stick, Smooth, Oyster, 3s, A
Watch,W5403,W5403,W5403,Used,Rolex,179174,D202006,No,Datejust,26mm,Steel,64.60g,GCI,LA - Main,Per/Pc,44054,"Doug Gruenberg, Inc.",44054,,3500,12740,5500,9750,1,,,Datejust 26 New Style Steel,,,1,0,D,2005,Pink Roman, Fluted WG, Jubilee D, 5s, A
Watch,W5407,W5407,W5407,Used,Rolex,69174,S394224,Yes,Datejust,26mm,Steel,52.80g,GCI,LA - Main,Per/Pc,44054,"Doug Gruenberg, Inc.",44054,,2800,10192,4850,0,1,,,Datejust 26 Quick Set Sapphire Steel,,,1,0,S,1993,Silver Stick, Fluted WG, Jubilee D, 6s, A
Watch,W5408,W5408,W5408,Used,Rolex,69174,R211682,Yes,Datejust,26mm,Steel,52.30g,GCI,LA - Main,Per/Pc,44054,"Doug Gruenberg, Inc.",44054,,2600,9464,3120,0,1,,,Datejust 26 Quick Set Sapphire Steel,,,1,0,R,1988,Silver Stick,Fluted WG,Jubilee D,5s,A
Watch,W5453,W5453,W5453,Used,Rolex,326934,NR625209,Yes,Sky-Dweller,42mm,Steel,178.70g,GCI,LA - Retail,Per/Pc,Buy 912942,Harout,44060,,16500,60060,24500,14800,1,,,Sky-Dweller Steel,,,1,0,SCR,2018,Blue Index, Fluted WG, Oyster,7s, A
Watch,W5461,W5461,W5461,Used,Rolex,16030,5841008,No,Datejust,36mm,Steel PVD,46.00g,GCI,LA - Main,Per/Pc,874,McKing Product Llc.,44055,,4850,17654,10000,7300,1,,,Datejust 36 Quick Set Plastic Steel PVD Flower,,,1,0,5M,1978,Custom Flower, Engine Turned, Painted LTHR, LTHR, LTHR
Watch,W5489,W5489,W5489,New,Panerai,PAM00779,OP7238BB1934967,Yes,California 8 Days,44mm,Titanium,120.20g,GCI,LA - Main,Per/Pc,113692,Bhindi Jewelers,44050,,5670,20638.8,7800,8100,1,,,Luminor California 8 Days DLC Titanium Dlc,,,1,0,SCR,2020,Black Standard,, Leather,,
Watch,W5506,W5506,W5506,Used,Rolex,1600,2064596,No,Datejust,36mm,Steel,45.00g,GCI,LA - Main,Per/Pc,1749,S&S ,44060,,3150,11466,4500,7050,1,,,Datejust 36 Non Quick Plastic Two Tone,,,1,0,2M,1967,Silver Stick, Smooth, Head only, HO, HO
Watch,W5514,W5514,W5514,Used,Rolex,79174,K743234,Yes,Datejust,26mm,Steel,50.20g,GCI,LA - Main,Per/Pc,874,"AFC Watches, Llc.",44060,,2699,9824.36,3238.8,7250,1,,,Datejust 26 Quick Set Sapphire Steel,,,1,0,K,2002,Silver Roman,Fluted WG,Jubilee D,3s,D
Watch,W5519,W5519,W5519,Used,Rolex,116234,H545M377,Yes,Datejust,36mm,Steel,117.09g,GCI,LA - Main,Per/Pc,BuyBk 912943,Watch Empire,44062,,8100,29484,11000,10450,1,,,Datejust 36 New Style Steel Crownclasp,,,1,0,SCR,2019,Silver Wave 6&9 Diamond, Fluted WG, Jubilee D, 6s, A
Watch,W5543,W5543,W5543,Used,Rolex,1601,3043677,No,Datejust,36mm,Steel and Yellow Gold,44.70g,GCI,LA - Main,Per/Pc,BN-54529,Boneta Inc.,44061,,3300,12012,4200,8550,1,,,Datejust 36 Non Quick Plastic Two Tone,,,1,0,3M,1970,Champagne Stick,Fluted YG, Head only, HO, HO
Watch,W5558,W5558,W5558,NNS,Rolex,126333,64KP6991,Yes,Datejust,40mm,Steel and Yellow Gold,152.80g,GCI,LA - Main,Per/Pc,TM_932,TMTime ,44060,,11750,42770,14500,12600,1,,,Datejust 40 New Style Two Tone,,,1,0,SCR,2020,White Index,Fluted YG, Oyster,7s, A
Watch,W5587,W5587,W5587,NNS,Rolex,333,016G4350,Yes,GMT-Master II,40mm,Steel and Yellow Gold,172.90g,GCI,LA - Main,Per/Pc,CINV14623, Gearys,44052,,14200,51688,17040,0,1,,,GMT-Master II Two Tone,,,1,0,SCR,2020,Black Standard, Black Standard, Oyster, 8s, A
Watch,W5623,W5623,W5623,Used,Rolex,116203,D510764,Yes,Datejust,36mm,Steel and Yellow Gold,127.50g,GCI,LA - Main,Per/Pc,82520,"Doug Gruenberg, Inc.",44068,,7750,28210,11500,12900,1,,,Datejust 36 New Style Two Tone,,,1,0,D,2005,Champagne Roman, Smooth, Oyster, 4s, A
